GameId,Season,HomeTeamAbbr,VisitorTeamAbbr,PossessionTeam,Team,Week,Quarter,Down,Distance,FieldPosition,HomeScoreBeforePlay,VisitorScoreBeforePlay,OffenseFormation,DefendersInTheBox,Yards,X,Y,S,A,Dis,Orientation,Dir,DisplayName,JerseyNumber,PlayerHeight,PlayerWeight,PlayerCollegeName,Position,X1,Y1
2017090700,2017,NE,KC,NE,home,1,1,3,2,NE,0,0,SHOTGUN,6.0,8,78.75,30.53,3.63,3.35,0.38,161.98,245.74,James White,28,5-10,205,Wisconsin,RB,78.59386636803562,30.18355766862346
2017090700,2017,NE,KC,NE,home,1,1,1,10,NE,0,0,SHOTGUN,6.0,3,48.93000000000001,26.139999999999997,3.06,2.41,0.34,210.7,132.2,James White,28,5-10,205,Wisconsin,RB,48.70161499963019,26.39187356273749
2017090700,2017,NE,KC,NE,home,1,1,1,10,KC,0,0,SINGLEBACK,7.0,5,48.66,19.11,5.77,2.42,0.6,140.82,221.96,James White,28,5-10,205,Wisconsin,RB,48.21383292862329,18.708833021773806
2017090700,2017,NE,KC,NE,home,1,1,2,2,KC,0,0,JUMBO,9.0,2,104.47,27.939999999999998,4.45,3.2,0.46,186.22,95.44,Mike Gillislee,35,5-11,210,Florida,RB,104.42639047109982,28.39792817011962
2017090700,2017,NE,KC,KC,away,1,1,1,10,KC,7,0,SHOTGUN,7.0,7,29.99,27.12,3.9,2.53,0.44,34.27,157.92,Kareem Hunt,27,5-11,216,Toledo,RB,29.58226964335576,27.28539636111706
2017090700,2017,NE,KC,NE,home,1,1,3,7,KC,7,0,SHOTGUN,5.0,10,77.12,30.569999999999997,3.32,2.76,0.44,189.77,139.67000000000002,James White,28,5-10,205,Wisconsin,RB,76.78457499059498,30.854763170135524
2017090700,2017,NE,KC,NE,home,1,1,2,10,KC,7,0,SINGLEBACK,8.0,-1,35.28,24.98,4.8,2.02,0.54,149.73,203.83,Rex Burkhead,34,5-10,215,Nebraska,RB,34.78603594682751,24.7618268711014
2017090700,2017,NE,KC,NE,home,1,1,4,1,KC,7,0,SINGLEBACK,9.0,0,97.26,27.869999999999997,3.65,1.18,0.51,205.6,102.12,Mike Gillislee,35,5-11,210,Florida,RB,97.15292047095976,28.368632103319186
2017090700,2017,NE,KC,KC,away,1,1,1,10,KC,7,0,SINGLEBACK,7.0,9,14.57,22.25,4.77,3.1,0.51,16.13,129.93,Kareem Hunt,27,5-11,216,Toledo,RB,14.242655872518212,22.64108288405808
2017090700,2017,NE,KC,KC,away,1,1,1,10,,7,0,PISTOL,7.0,9,53.64,27.84,3.64,2.63,0.38,21.53,141.28,Kareem Hunt,27,5-11,216,Toledo,RB,53.34351939860406,28.07769571513997
2017090700,2017,NE,KC,KC,away,1,1,2,9,NE,7,0,SINGLEBACK,7.0,2,96.73,23.79,4.34,2.11,0.55,3.53,89.94,Kareem Hunt,27,5-11,216,Toledo,RB,96.73057595854789,24.33999969842878
2017090700,2017,NE,KC,NE,home,1,1,1,10,NE,7,7,SHOTGUN,6.0,3,88.63,29.13,2.82,2.79,0.32,177.73,286.41,Mike Gillislee,35,5-11,210,Florida,RB,88.72040284301308,28.823035301744397
2017090700,2017,NE,KC,NE,home,1,1,1,10,KC,7,7,SINGLEBACK,7.0,13,45.71,30.09,6.55,3.75,0.69,80.67,167.54,Chris Hogan,15,6-1,210,"Monmouth, N.J.",WR,45.036251657943225,30.238873004859
